"timestamp","system_time","lat","lon","speed","bearing","provider"
"1525377960000","1525377959540","42.96786439","-78.76967488","19.5","145.2","gps"
"1525377961000","1525377960541","42.96771585","-78.76954911","19.75","145.7","gps"
"1525377962000","1525377961540","42.96757841","-78.76941038","19.5","146.7","gps"
"1525377963000","1525377962540","42.96742338","-78.76928597","19.75","148.2","gps"
"1525377964000","1525377963540","42.96728132","-78.76915369","19.25","149.6","gps"
"1525377965000","1525377964539","42.96713805","-78.76904606","19.0","150.2","gps"
"1525377966000","1525377965540","42.96699488","-78.76892866","18.75","150.9","gps"
"1525377967000","1525377966538","42.96685547","-78.76881683","18.5","151.7","gps"
"1525377968000","1525377967539","42.96670391","-78.76871132","18.5","152.6","gps"
"1525377969000","1525377968539","42.96655017","-78.76860554","18.5","153.3","gps"
"1525377970000","1525377969541","42.96640004","-78.76851285","18.5","154.3","gps"
"1525377971000","1525377970539","42.96625088","-78.76842491","18.25","155.1","gps"
"1525377972000","1525377971540","42.96609945","-78.76832686","17.75","156.2","gps"
"1525377973000","1525377972542","42.96595689","-78.76825136","17.25","157.2","gps"
"1525377974000","1525377973542","42.96581264","-78.76817168","16.25","158.5","gps"
"1525377975000","1525377974542","42.96568148","-78.76810293","15.5","159.4","gps"
"1525377976000","1525377975539","42.96554762","-78.76803994","14.75","160.2","gps"
"1525377977000","1525377976540","42.96543341","-78.76797568","13.75","160.5","gps"
"1525377978000","1525377977540","42.96532591","-78.76791544","13.25","161.2","gps"
"1525377979000","1525377978540","42.96521811","-78.76787537","12.75","161.4","gps"
"1525377980000","1525377979544","42.96511188","-78.76782979","12.25","162.1","gps"
"1525377981000","1525377980540","42.96501247","-78.76778927","11.5","162.5","gps"
"1525377982000","1525377981540","42.96492056","-78.76774948","10.0","162.9","gps"
"1525377983000","1525377982539","42.96484182","-78.767722","9.0","163.0","gps"
"1525377984000","1525377983539","42.96477004","-78.76768982","8.5","163.6","gps"
"1525377985000","1525377984538","42.96469853","-78.76766926","8.25","164.2","gps"
"1525377986000","1525377985540","42.96463268","-78.76764187","7.75","164.9","gps"
"1525377987000","1525377986539","42.9645715","-78.76762511","6.25","165.6","gps"
"1525377988000","1525377987541","42.96452322","-78.76761636","4.75","165.9","gps"
